customer_id,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,country,property_valuation,R,M,F
84,Male,78,63.69766736,Accountant III,n/a,Mass Customer,Yes,14,2086,New South Wales,Australia,11,1584.806807,327.8885714,78
85,Male,1,63.41547558,Analyst Programmer,n/a,Mass Customer,No,8,2226,New South Wales,Australia,11,1591.66395,93.895,1
86,Male,75,32.6072564,Occupational Therapist,Health,High Net Worth,Yes,7,2075,New South Wales,Australia,11,1504.441728,262.2322222,75
87,Male,78,47.48122901,Editor,Financial Services,Mass Customer,No,8,2038,New South Wales,Australia,12,1541.330617,415.64,78
88,Female,41,55.70314681,Help Desk Operator,Property,High Net Worth,Yes,7,2069,New South Wales,Australia,12,1538.830617,422.3883333,41
89,Male,74,54.73602353,Speech Pathologist,Health,Mass Customer,Yes,14,2100,New South Wales,Australia,11,1467.997283,642.1833333,74
90,Male,76,36.91684544,Quality Control Specialist,Manufacturing,Mass Customer,No,11,2233,New South Wales,Australia,10,1567.378236,427.2471429,76
91,Male,69,66.65383175,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,2166,New South Wales,Australia,9,1503.03895,655.30125,69
92,Female,98,41.08944818,Recruiting Manager,Health,Mass Customer,No,12,3133,VIC,Australia,10,1516.330617,989.1466667,98
93,Male,63,45.24835229,Project Manager,Retail,Mass Customer,Yes,10,3070,VIC,Australia,10,1553.330617,992.1366667,63
94,Male,33,47.19081805,Civil Engineer,Manufacturing,Mass Customer,No,21,2777,New South Wales,Australia,7,1451.66395,700.3157143,33
95,Female,67,60.81547558,Software Engineer III,Manufacturing,Affluent Customer,Yes,8,3133,VIC,Australia,10,1477.66395,762.7025,67
96,Male,33,53.12780435,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,2125,New South Wales,Australia,11,1588.41395,556.69,33
97,Male,16,42.21821531,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,2766,New South Wales,Australia,8,1581.91395,613.90125,16
98,Female,19,65.59355777,Safety Technician IV,Health,Mass Customer,No,7,2209,New South Wales,Australia,10,1554.86395,386.112,19
99,Male,97,23.32506462,VP Accounting,Financial Services,Mass Customer,No,3,2160,New South Wales,Australia,9,1486.552839,506.4055556,97
100,Male,80,53.43465366,General Manager,Financial Services,Mass Customer,Yes,4,2065,New South Wales,Australia,12,1496.16395,438.7,80
101,Male,83,45.7962975,Nurse Practicioner,Manufacturing,High Net Worth,No,11,2150,New South Wales,Australia,10,1534.16395,647.4725,83
102,Male,51,64.89492764,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,2168,New South Wales,Australia,9,1561.521093,369.5728571,51
103,Female,49,24.4702701,Product Engineer,Financial Services,Affluent Customer,Yes,4,2046,New South Wales,Australia,12,1545.66395,182.664,49
104,Female,40,43.35794133,Automation Specialist II,Health,Mass Customer,Yes,9,4171,QLD,Australia,10,1578.108394,580.9966667,40
105,Female,25,20.0593112,Recruiting Manager,Manufacturing,Mass Customer,No,1,2155,New South Wales,Australia,10,1577.91395,868.76,25
106,Male,54,55.29218791,Software Test Engineer III,Health,High Net Worth,Yes,18,2517,New South Wales,Australia,9,1475.997283,837.8966667,54
107,Female,97,31.28122901,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,2096,New South Wales,Australia,12,1596.66395,585.9925,97
108,Female,4,27.57711942,,n/a,High Net Worth,No,3,2750,New South Wales,Australia,8,1396.997283,852.4733333,4
109,Male,16,42.84287284,Marketing Assistant,n/a,Affluent Customer,Yes,4,2217,New South Wales,Australia,11,1571.46395,443.066,16
110,Male,23,21.19081805,,Financial Services,Affluent Customer,No,1,3977,VIC,Australia,8,1564.235379,374.5071429,23
111,Female,65,28.11684544,Analyst Programmer,n/a,Mass Customer,No,2,2093,New South Wales,Australia,12,1579.41395,753.6325,65
112,Female,88,46.17711942,Marketing Manager,Retail,High Net Worth,No,12,3204,VIC,Australia,11,1615.330617,957.0316667,88
113,Male,67,65.45657147,Staff Scientist,n/a,Mass Customer,No,20,4300,QLD,Australia,4,1668.06395,440.096,67
114,Female,10,35.97163997,Teacher,Entertainment,Affluent Customer,No,8,2170,New South Wales,Australia,9,1578.16395,548.815,10
115,Male,77,39.81273586,Account Executive,Health,Mass Customer,No,18,3844,VIC,Australia,1,1504.16395,391.98375,77
116,Male,49,22.67574955,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,2168,New South Wales,Australia,8,1518.91395,305.9425,49
117,Female,75,39.63739339,Marketing Manager,Manufacturing,Mass Customer,No,15,4226,QLD,Australia,6,1564.46395,691.734,75
118,Male,43,61.93602353,Budget/Accounting Analyst IV,n/a,High Net Worth,No,19,3192,VIC,Australia,10,1562.86395,710.02,43
119,Male,9,39.8593112,Associate Professor,n/a,High Net Worth,Yes,9,3070,VIC,Australia,7,1470.66395,1054.31,9
120,Male,80,43.11684544,Legal Assistant,Financial Services,High Net Worth,Yes,4,2485,New South Wales,Australia,2,1528.66395,435.5933333,80
121,Male,82,64.04835229,Graphic Designer,Manufacturing,Mass Customer,No,15,2097,New South Wales,Australia,9,1603.41395,723.0225,82
122,Male,87,42.48944818,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,4817,QLD,Australia,2,1479.86395,539.044,87
123,Female,85,32.85657147,Analyst Programmer,Financial Services,High Net Worth,No,15,2516,New South Wales,Australia,8,1672.41395,811.4375,85
124,Female,27,26.44013312,Administrative Assistant II,Health,High Net Worth,Yes,5,3074,VIC,Australia,8,1543.949664,579.1785714,27
125,Female,94,61.59081805,Computer Systems Analyst II,Property,Mass Customer,No,16,2213,New South Wales,Australia,10,1588.552839,367.0977778,94
126,Male,53,28.98807832,Administrative Officer,Health,Mass Customer,Yes,3,4508,QLD,Australia,4,1515.330617,365.4866667,53
127,Female,81,46.86753038,Compensation Analyst,Financial Services,Mass Customer,No,19,4405,QLD,Australia,1,1569.16395,399.371,81
128,Male,73,44.24561257,Systems Administrator III,Property,Mass Customer,Yes,12,2452,New South Wales,Australia,5,1572.66395,548.265,73
129,Male,64,36.23191394,Financial Advisor,Financial Services,High Net Worth,Yes,19,2142,New South Wales,Australia,9,1664.91395,688.4375,64
130,Male,32,24.22917421,Chemical Engineer,Manufacturing,Mass Customer,No,1,2205,New South Wales,Australia,7,1577.16395,889.79,32
131,Female,57,57.00451668,Administrative Officer,Retail,High Net Worth,No,8,4132,QLD,Australia,3,1635.830617,915.8183333,57
132,Female,5,58.28396873,Web Designer I,Manufacturing,Mass Customer,Yes,9,2145,New South Wales,Australia,8,1557.830617,463.4533333,5
133,Male,12,44.33876325,VP Accounting,Financial Services,Mass Customer,Yes,16,4744,QLD,Australia,1,1619.46395,160.778,12
134,Female,34,24.19081805,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,2158,New South Wales,Australia,11,1570.830617,491.07,34
135,Female,18,46.74150298,Internal Auditor,IT,Mass Customer,No,3,3201,VIC,Australia,6,1605.497283,542.345,18
136,Male,46,48.39081805,Senior Developer,Manufacturing,High Net Worth,Yes,7,4178,QLD,Australia,3,1536.28895,442.9,46
137,Male,27,33.89218791,Office Assistant II,Property,High Net Worth,No,10,2112,New South Wales,Australia,10,1591.66395,299.29,27
138,Male,5,36.4593112,Recruiter,Financial Services,Affluent Customer,Yes,13,2033,New South Wales,Australia,9,1547.521093,482.4457143,5
139,Male,1,57.22369476,Operator,Telecommunications,Affluent Customer,No,4,4401,QLD,Australia,1,1569.775061,573.4933333,1
140,Male,9,27.39355777,Programmer Analyst III,Manufacturing,Mass Customer,No,2,3186,VIC,Australia,9,1595.330617,449.9833333,9
141,Male,67,67.3223249,Teacher,Financial Services,High Net Worth,Yes,10,2097,New South Wales,Australia,11,1583.66395,712.7833333,67
142,Male,57,54.1962975,Quality Engineer,Health,Affluent Customer,No,17,3058,VIC,Australia,9,1581.300314,356.1218182,57
143,Male,19,64.1332838,Operator,Argiculture,Mass Customer,Yes,11,4017,QLD,Australia,6,1560.41395,618.6925,19
144,U,71,121.8428728,Environmental Tech,IT,Mass Customer,No,,2315,New South Wales,Australia,3,1524.28895,611.0025,71
145,Male,33,24.22095503,Account Executive,Financial Services,Mass Customer,No,4,2285,New South Wales,Australia,5,1507.66395,448.6142857,33
146,Male,34,36.51410572,Quality Control Specialist,Manufacturing,Mass Customer,No,8,2219,New South Wales,Australia,11,1580.66395,108.53,34
147,Female,32,47.8593112,Analog Circuit Design manager,Health,Mass Customer,Yes,10,2065,New South Wales,Australia,11,1539.330617,839.0266667,32
148,Female,69,40.43465366,Programmer Analyst III,n/a,Mass Customer,Yes,5,3216,VIC,Australia,8,1531.26395,653.68,69
149,Female,41,26.69218791,Research Nurse,Health,Mass Customer,Yes,1,4509,QLD,Australia,7,1580.66395,425.868,41
150,Male,6,38.14150298,Cost Accountant,Financial Services,Affluent Customer,No,17,2330,NSW,Australia,7,1556.66395,611.6275,6
151,Male,36,56.71136599,Marketing Manager,Manufacturing,Mass Customer,Yes,13,2759,NSW,Australia,9,1553.78895,911.2625,36
152,Female,5,40.61547558,Compensation Analyst,Financial Services,Mass Customer,No,16,2069,NSW,Australia,12,1565.66395,983.44,5
153,Female,73,44.21547558,Assistant Media Planner,Entertainment,Mass Customer,Yes,12,2747,NSW,Australia,8,1604.235379,788.93,73
154,Female,90,63.68122901,Junior Executive,n/a,Mass Customer,No,11,2227,NSW,Australia,8,1487.66395,120.0683333,90
155,Male,4,35.79081805,Quality Engineer,Manufacturing,Mass Customer,No,10,2025,NSW,Australia,10,1545.997283,362.8066667,4
156,Female,23,42.09766736,Cost Accountant,Financial Services,Mass Customer,Yes,11,3191,VIC,Australia,11,1557.26395,619.074,23
157,Male,97,46.89492764,Financial Advisor,Financial Services,Affluent Customer,No,16,3025,VIC,Australia,8,1563.330617,127.14,97
158,Male,99,37.10862627,Internal Auditor,n/a,Affluent Customer,No,5,2263,NSW,Australia,6,1586.997283,771.225,99
159,Male,90,34.42095503,Research Nurse,Health,Affluent Customer,No,13,2233,NSW,Australia,10,1596.16395,489.2283333,90
160,Male,5,57.2593112,Registered Nurse,Health,Mass Customer,No,18,2154,NSW,Australia,11,1517.66395,1307.08,5
161,Male,49,45.7332838,,n/a,Mass Customer,No,16,2065,NSW,Australia,10,1532.66395,459.46,49
162,Male,90,42.17437969,Nurse Practicioner,IT,Mass Customer,No,15,2119,NSW,Australia,10,1566.997283,443.2033333,90
163,Female,58,45.10588654,Librarian,Entertainment,High Net Worth,Yes,14,3016,VIC,Australia,10,1519.16395,550.64,58
164,Female,55,22.17437969,Senior Editor,Retail,Affluent Customer,Yes,1,4113,QLD,Australia,4,1617.66395,262.0466667,55
165,Male,61,37.55246188,Administrative Officer,Argiculture,Mass Customer,Yes,12,2032,NSW,Australia,10,1481.997283,686.9466667,61
166,Male,54,66.35794133,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6,4300,QLD,Australia,4,1546.28895,524.68,54
167,Female,95,51.97163997,,Health,High Net Worth,Yes,17,4352,QLD,Australia,6,1585.66395,665.9266667,95
168,U,8,121.8428728,General Manager,IT,Affluent Customer,Yes,,3020,VIC,Australia,6,1616.66395,819.1588889,8
169,Male,20,64.00177695,Data Coordiator,Telecommunications,High Net Worth,Yes,5,2116,NSW,Australia,9,1530.330617,232.0866667,20
170,Male,80,46.37163997,Pharmacist,Health,High Net Worth,No,21,3057,VIC,Australia,8,1634.330617,456.3866667,80
171,Female,62,50.86753038,Assistant Manager,Manufacturing,Mass Customer,No,10,2099,NSW,Australia,11,1557.552839,594.5188889,62
172,Male,54,33.08122901,Editor,Manufacturing,Affluent Customer,Yes,6,3749,VIC,Australia,4,1551.91395,406.0725,54
173,Female,99,24.76890024,General Manager,Health,Affluent Customer,No,1,2766,NSW,Australia,8,1589.108394,727.7233333,99
174,Female,93,31.87574955,Food Chemist,Health,Mass Customer,No,12,2148,NSW,Australia,9,1532.66395,762.824,93
175,Male,36,45.88122901,Quality Engineer,Manufacturing,Affluent Customer,No,5,3145,VIC,Australia,11,1539.86395,434.108,36
176,Male,39,29.49492764,Accountant I,Property,Mass Customer,No,10,2021,NSW,Australia,8,1565.46395,618.014,39
177,Female,25,31.9223249,Professor,Financial Services,High Net Worth,No,4,2333,NSW,Australia,5,1537.482132,361.8309091,25
178,Male,2,54.54150298,,n/a,Affluent Customer,No,8,2783,NSW,Australia,7,1440.41395,546.145,2
179,Male,23,55.43739339,Environmental Tech,Manufacturing,High Net Worth,Yes,6,2280,NSW,Australia,9,1551.66395,604.8633333,23
180,Female,16,50.08122901,Web Designer III,Argiculture,Affluent Customer,No,14,4120,QLD,Australia,8,1596.235379,580.7642857,16
181,Female,49,38.89492764,Senior Editor,Manufacturing,Mass Customer,No,9,3638,VIC,Australia,1,1519.830617,627.8116667,49
182,Male,99,28.88944818,Sales Associate,Financial Services,Affluent Customer,Yes,7,4300,QLD,Australia,4,1590.521093,772.7314286,99
183,Female,7,24.17985914,Geologist III,Retail,Affluent Customer,No,3,2074,NSW,Australia,10,1599.330617,531.3066667,7
184,Male,40,49.84287284,Marketing Manager,Manufacturing,High Net Worth,Yes,7,2880,NSW,Australia,1,1501.997283,727.1166667,40
185,Male,80,41.83739339,,Property,Mass Customer,Yes,13,2430,NSW,Australia,5,1497.806807,506.8114286,80
186,Female,46,47.44561257,Software Test Engineer I,Financial Services,Mass Customer,No,3,4560,QLD,Australia,7,1524.330617,361.0283333,46
187,Male,97,67.72780435,Structural Engineer,n/a,Mass Customer,No,11,2088,NSW,Australia,10,1540.235379,430.6971429,97
188,Female,54,46.31684544,Safety Technician II,Property,High Net Worth,Yes,13,2220,NSW,Australia,11,1444.330617,443.145,54
189,Male,73,40.23739339,Safety Technician I,Financial Services,Affluent Customer,No,10,3031,VIC,Australia,4,1521.86395,1065.996,73
190,Female,42,42.69218791,Registered Nurse,Health,Affluent Customer,No,10,2250,NSW,Australia,9,1648.330617,233.16,42
191,Male,22,61.47848928,Help Desk Operator,n/a,Affluent Customer,Yes,6,2261,NSW,Australia,7,1478.66395,834.94,22
192,Female,2,42.90314681,Junior Executive,Health,Mass Customer,Yes,8,3196,VIC,Australia,6,1629.66395,379.8675,2
193,Male,13,57.24013312,Recruiting Manager,Manufacturing,Mass Customer,Yes,12,4352,QLD,Australia,7,1529.46395,510.3,13
194,Female,4,46.91410572,Web Developer III,Financial Services,Affluent Customer,No,10,4680,QLD,Australia,5,1560.66395,869.4266667,4
195,Female,34,62.93054407,Project Manager,Manufacturing,Mass Customer,No,6,3143,VIC,Australia,9,1497.378236,1376.201429,34
196,Male,90,55.65109202,Programmer Analyst II,Manufacturing,High Net Worth,No,6,2747,NSW,Australia,8,1650.91395,467.25,90
197,Female,32,44.71410572,,n/a,High Net Worth,No,5,2063,NSW,Australia,12,1577.108394,405.7455556,32
198,Female,82,39.87300983,Assistant Media Planner,Entertainment,Mass Customer,No,16,3021,VIC,Australia,7,1534.330617,736.8744444,82
199,Female,61,43.66753038,Junior Executive,Health,Mass Customer,Yes,21,2138,NSW,Australia,8,1534.91395,662.6325,61
200,Male,7,64.70588654,Physical Therapy Assistant,Property,Affluent Customer,Yes,19,4005,QLD,Australia,2,1530.66395,809.3177778,7
201,Male,45,55.49492764,Design Engineer,Manufacturing,Mass Customer,Yes,11,2233,NSW,Australia,9,1582.378236,594.1685714,45
202,Female,38,58.31958517,Librarian,Entertainment,Affluent Customer,Yes,16,4811,QLD,Australia,5,1452.997283,431.97,38
203,Male,71,57.76342079,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11,2085,NSW,Australia,11,1583.26395,296.224,71
204,Male,56,45.03739339,Editor,Financial Services,Mass Customer,No,5,3084,VIC,Australia,10,1533.16395,785.91125,56
205,Male,18,62.88396873,Administrative Assistant II,Financial Services,Mass Customer,Yes,6,3170,VIC,Australia,9,1606.108394,223.1411111,18
206,Female,98,67.25657147,Statistician I,n/a,Mass Customer,Yes,14,2066,NSW,Australia,9,1495.41395,954.1625,98
207,Female,9,27.16890024,,n/a,Mass Customer,No,7,4113,QLD,Australia,8,1683.66395,543.3433333,9
208,Male,57,26.9442427,Office Assistant III,Property,High Net Worth,No,5,4078,QLD,Australia,7,1598.86395,668.404,57
209,Male,9,64.1442427,Analog Circuit Design manager,n/a,Affluent Customer,Yes,6,2222,NSW,Australia,11,1548.26395,616.214,9
210,Male,50,57.91684544,Assistant Manager,Property,Mass Customer,No,18,3152,VIC,Australia,9,1537.66395,492.8383333,50
211,Female,6,47.61821531,VP Marketing,Manufacturing,Mass Customer,Yes,5,2159,NSW,Australia,10,1556.997283,454.45,6
212,Female,21,19.88670846,Desktop Support Technician,IT,Affluent Customer,No,1,4503,QLD,Australia,4,1626.66395,895.205,21
213,Male,13,25.4072564,Actuary,Financial Services,High Net Worth,Yes,6,4655,QLD,Australia,4,1568.391223,776.7727273,13
214,Male,82,63.88944818,Food Chemist,Health,Mass Customer,No,6,4220,QLD,Australia,9,1568.66395,416.4733333,82
215,Female,37,47.31136599,Assistant Professor,Retail,High Net Worth,Yes,18,4012,QLD,Australia,3,1538.78895,486.17375,37
216,Female,12,26.7442427,Quality Engineer,Financial Services,High Net Worth,Yes,7,2153,NSW,Australia,10,1595.06395,636.282,12
